rank,tier,archive_entry,date,type,title,surviving_sources,source_status,full_recording_exists,archive_has_only_fragment,historical_value,loss_risk,recommended_action
1,A1,2010-05-10-video-01,2010-05-10,video,【女流】小游戏也可以很暴力。。。第一弹,v.youku.com/v_show/id_XMTcxNzY2Mjg4.html（original/dead）,来源全部失效,否,—,她最早的原创视频（2010～2014 优酷时代）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
2,A1,2013-09-04-video-01,2013-09-04,video,【女流】进击的巨人同人游戏【巨人の猎手】试玩解说,v.youku.com/v_show/id_XNjA1MDcxMTQ0.html（original/dead）,来源全部失效,否,—,她最早的原创视频（2010～2014 优酷时代）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
3,A1,2015-01-26-live-01,2015-01-26,live,I Wanna（版本未定）,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
4,A1,2015-02-11-live-01,2015-02-11,live,水友赛+2点半Braid时空幻境,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
5,A1,2015-03-19-live-01,2015-03-19,live,我是谁？,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
6,A1,2015-03-20-live-01,2015-03-20,live,我是谁？,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
7,A1,2015-03-23-live-01,2015-03-23,live,我是谁？,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
8,A1,2015-03-30-live-01,2015-03-30,live,GTA5,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
9,A1,2015-04-10-live-01,2015-04-10,live,霸道间谍爱上。。我,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
10,A1,2015-04-20-live-01,2015-04-20,live,小游戏大合集,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
11,A1,2015-04-23-live-01,2015-04-23,live,传送门1,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
12,A1,2015-04-28-live-01,2015-04-28,live,FEZ是一个神奇的游戏,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
13,A1,2015-05-14-live-01,2015-05-14,live,雷曼传奇,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
14,A1,2015-05-21-live-01,2015-05-21,live,直播标题已遗失,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
15,A1,2015-06-04-live-01,2015-06-04,live,直播标题已遗失,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
16,A1,2015-07-09-live-01,2015-07-09,live,肚子还有点儿疼,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
17,A1,2015-07-10-live-01,2015-07-10,live,今天就是要找一只狗,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
18,A1,2015-07-13-live-01,2015-07-13,live,交出你手上的钻石镐,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
19,A1,2015-07-17-live-01,2015-07-17,live,我活着回来了,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
20,A1,2015-08-03-live-01,2015-08-03,live,大周还认不认我这个王,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
21,A1,2015-08-14-live-01,2015-08-14,live,反恐精英Online与我的世界,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
22,A1,2015-08-17-live-01,2015-08-17,live,我想的美,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
23,A1,2015-08-19-live-01,2015-08-19,live,感觉不是很妙,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
24,A1,2015-08-21-live-01,2015-08-21,live,土木工程专业错失人才,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
25,A1,2015-08-27-live-01,2015-08-27,live,PT寂静岭,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
26,A1,2015-08-30-live-01,2015-08-30,live,心灵砒霜,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
27,A1,2015-08-31-live-01,2015-08-31,live,我的世界,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
28,A1,2015-09-02-live-01,2015-09-02,live,药是甜的,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
29,A1,2015-09-03-live-01,2015-09-03,live,我的世界,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
30,A1,2015-09-11-live-01,2015-09-11,live,新作到手：折纸世界,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
31,A1,2015-09-14-live-01,2015-09-14,live,打包行李,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
32,A1,2015-09-16-live-01,2015-09-16,live,户外信号不好直播推迟,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
33,A1,2015-09-21-live-01,2015-09-21,live,公园,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
34,A1,2015-09-27-live-01,2015-09-27,live,心灵砒霜,v.youku.com/v_show/id_XMTM1MDQ1NDE4OA==.html（clip/dead）,来源全部失效,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
35,A1,2015-09-28-live-01,2015-09-28,live,直播标题已遗失,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
36,A1,2015-09-29-live-01,2015-09-29,live,旅游照片未整理,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
37,A1,2015-10-03-live-01,2015-10-03,live,18888888888888888888,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
38,A1,2015-10-15-live-01,2015-10-15,live,三娃子拯救世界：dropsy,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
39,A1,2015-10-16-live-01,2015-10-16,live,刚录视频迟到了,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
40,A1,2015-10-19-live-01,2015-10-19,live,以后直播间名就叫66,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
41,A1,2015-10-21-live-01,2015-10-21,live,这是一个伟大的游戏,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
42,A1,2015-10-22-live-01,2015-10-22,live,我的世界,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
43,A1,2015-11-02-live-01,2015-11-02,live,直播标题已遗失,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
44,A1,2015-11-04-live-01,2015-11-04,live,poly bridge更新关卡,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
45,A1,2015-11-05-live-01,2015-11-05,live,我的世界,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
46,A1,2015-11-06-live-01,2015-11-06,live,试玩：不机械城,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
47,A1,2015-11-10-live-01,2015-11-10,live,提醒我每天两关小象露露,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
48,A1,2015-11-11-live-01,2015-11-11,live,直播标题已遗失,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
49,A1,2015-11-12-live-01,2015-11-12,live,直播标题已遗失,—,无任何公开来源,否,—,斗鱼首年（2015）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
